replication,SCRAM
1,V013440001S15410333660013
1,V014720002S17220054460011
1,V012440861M31060957430011
1,V016840861M10060501600013
1,V018240140M17060980560011
1,V016100006S58060505820012
1,V018840861M57060306280011
1,V010640861M57060236460013
1,V016340140M17060073090011
1,V019100001S79010656660012
1,V011130081M73060500960012
1,V016400006S58060927030013
1,V014040861M57060657660013
1,V019040861M10060544420011
1,V011440861M31060686450012
1,V018400006S75060351010011
1,V016340861M31060638740011
1,V013940861M14060836750012
1,V015440861M57060348670011
1,V018920003S50230969510013
1,V013220002S17220342560012
1,V012230081M73060929000012
1,V012040140M17060852760011
1,V010730081M73060617160013
1,V018240861M10060666110012
1,V014030081M73060625600011
1,V014500006S13060429600013
1,V019030081M73060455160013
1,V018900008S13080537230012
1,V013840861M18060179380011
1,V010140861M57060504660013
1,V011740861M10060737400013
1,V018710006S91160968340013
1,V012440861M31060948340011
1,V011830081M95060045480013
1,V017240861M10060737920011
1,V010840002S30420834400011
1,V010130081M95060580790112
1,V010130081M73060635230011
1,V019830081M73060604360011
1,V012740140M56060986320011
1,V012540861M57060661170013
1,V013440861M31060688440013
1,V011740861M10060637410013
1,V015240140M56060437500011
1,V010330081M95060854380011
1,V017240861M57060794280013
1,V012800006S52060475400012
1,V010130081M73060274350113
1,V010940140M17060347160013
1,V013010109M31481134030012
1,V018730081M95060150680012
1,V011240140M56060359940013
1,V010930081M73060164460013
1,V018240861M57060874370012
1,V014810006S10160025320013
1,V015800008S96080438870013
1,V010200002S02020231500012
1,V019900008S54080319160012
1,V018400008S10080658000011
1,V015900008S50080038810012
1,V018540000S15400885620012
1,V019000008S92080991820012
1,V019700008S10080724600011
1,V019600008S32081824690012
1,V019700008S13080606430011
1,V014000008S31080402320012
1,V015600008S14080807950012
1,V016500008S50080499710013
1,V015910986M79171873480013
1,V017840004S10440855300013
1,V014300008S32081320590011
1,V017700008S13080001830013
1,V011930005S14350094070012
1,V017100008S14080881650011
1,V018700008S77080115480011
1,V014000008S50080976800013
1,V014030005S14350066070011
1,V011500008S95080924860012
1,V018100008S96080139970012
1,V014700008S53080460540011
1,V018000008S13080903630013
1,V014140009S94490651270013
1,V016700008S58080941680011
1,V018230008S98380532650013
1,V016000008S13080918820011
1,V013100008S13080223140013
1,V014300008S32081057790011
1,V014900008S96080517870011
1,V017000008S95080054370011
1,V011500008S32081817590013
1,V015600008S79080788780012
1,V019900008S96080743770011
1,V012310006S75160425080011
1,V014100008S14080384050012
1,V011800008S13080420330013
1,V014700008S32081698690012
1,V014240000S90401518950011
1,V015250003S11530621010011
1,V014900008S50080499510011
1,V014900008S50080966900013
1,V017550004S33540419520013
1,V014200008S13080204140012
1,V015900008S31080744220011
1,V011700008S96080724870011
1,V018500008S31080804520011
1,V010040001S76410882390113
1,V014500008S10080868600011
1,V012830005S90350282340011
1,V010400008S95080658270011
1,V012300002S09020994340012
1,V019400008S95080597270013
1,V014650006S12560718130012
1,V012400008S10080976600011
1,V018100008S95080874460012
1,V011520003S72230339870013
1,V016040009S53490574030011
1,V015400008S13080035130013
1,V014900008S50080957810013
1,V011600008S31080162020012
1,V019500008S96080921970011
1,V013900008S13080129530012
1,V015600008S10080315100011
1,V011700002S02020543430011
1,V016900008S95080520860013
1,V014300008S32081079590013
1,V018520009S16291070750011
1,V014500008S31080840520011
1,V019130005S10350725700013
1,V015500008S50080305110011
1,V013200008S50080885800012
1,V012000008S95080281170011
1,V014700008S96080424180011
1,V015730005S50350629930012
1,V010700008S13080962930012
1,V015840000S13400472710013
1,V012800008S77080988480011
1,V016800008S14080538950013
1,V018900008S95080046370012
1,V019800008S53080165540013
1,V019800008S41080274620013
1,V015200008S53080013340012
1,V010130008S71380266320111
1,V010910002S51121966360013
1,V012900008S13080671230011
1,V017700008S94080506260011
1,V010100008S53080077340113
1,V016600008S31080914320011
1,V018200008S14080432750013
1,V012100008S14080303050012
1,V019000008S53080176340013
1,V018850001S00517271740013
1,V014300008S12081502390011
1,V017300008S96080413570012
1,V012650006S34560255270013
1,V019230987M92420796410013
1,V012900008S50080165800012
1,V016100008S95080881560011
1,V012600008S31080950320011
1,V013240861M18060275780012
1,V012000008S76080658470013
1,V015200008S96080975080012
1,V014900008S50080218710011
1,V010500008S13080323830011
1,V019130000S59300022870011
1,V015900008S53080900740012
1,V010400008S32081734790013
1,V019900008S50080012900013
1,V016930001S91310117300013
1,V014620426M10482402850011
1,V014300008S34080093160011
1,V011100008S31080349220012
1,V014800008S92080128720012
1,V018300008S17080847180011
1,V015600008S32081940690011
1,V017800008S31080008020011
1,V016700008S53080442540011
1,V010800008S93080943840011
1,V013040007S78471014590011
1,V017250006S52560040240011
1,V012540907M10110992900012
1,V013700008S32081060490011
1,V010200008S13080411040011
1,V016700008S50080218900012
1,V019200008S13080358130012
1,V013300008S14080193060011
1,V013600008S31080053120012
1,V019210109M12481246450013
1,V019100008S14080168150013
1,V019100008S50080557210012
1,V017420005S72250371620011
1,V011200008S95080669270013
1,V010900008S77080919280012
1,V013230006S71360385500013
1,V012600008S73080126740012
1,V016430987M19420279530012
1,V012700008S14080653060012
1,V019900008S14080502950013
1,V013910003S97131895520012
1,V014800008S77080891480013
