method,state,mse,rmse,bias,squared_bias,coverage,theta_hat_mean,theta_true,n_state_sample_mean,state_abbr,error_mean
NSB,39,0.001969006619695425,0.04437349005538583,-0.03147047055536516,9.903905169761054e-4,0.6,0.3076645778223423,0.33913504837770747,128,OH,-0.03147047055536517
NSB,40,0.002321714412369429,0.04818417180329479,-0.0038737551658990315,1.5005979085329433e-5,0.8,0.33018089539903545,0.3340546505649345,98,OK,-0.003873755165899051
NSB,41,0.002793345398731974,0.052852108744419785,-0.012385802708852556,1.5340810874261933e-4,0.9,0.36180015352435024,0.3741859562332028,163,OR,-0.012385802708852534
NSB,42,0.003417455489341212,0.058459006913744366,-0.006635205812603684,4.402595617560971e-5,0.7,0.3774037369969996,0.38403894280960327,182,PA,-0.006635205812603684
NSB,44,8.159768103355791e-4,0.02856530781097202,-0.021415770433306273,4.586352232520752e-4,1,0.3521209514050701,0.3735367218383764,89,RI,-0.02141577043330628
NSB,45,0.001980260793509599,0.0445001212752235,-0.012885493557371803,1.6603594421707023e-4,0.9,0.3518589886455884,0.3647444822029602,122,SC,-0.012885493557371785
NSB,46,3.7179010986592304e-4,0.019281859606011115,-0.006393007336709794,4.087054280722525e-5,1,0.3478897354828513,0.35428274281956107,65,SD,-0.006393007336709777
NSB,47,0.0012102913757790117,0.03478924224209277,0.006563756663324066,4.308290153533108e-5,1,0.36014863217354876,0.35358487551022466,119,TN,0.006563756663324094
NSB,48,0.0035996028481108133,0.059996690309639694,-0.006130701319230353,3.758549866561279e-5,0.5,0.4059864080218969,0.4121171093411273,344,TX,-0.0061307013192303805
NSB,49,0.0024621417850726143,0.049619973650462716,0.04099906417314831,0.0016809232630739333,0.9,0.3279352779184155,0.2869362137452672,187,UT,0.0409990641731483
NSB,50,0.002985659070263618,0.05464118474432649,-0.05166720684829329,0.002669500263504325,1,0.3356206425613905,0.3872878494096838,104,VT,-0.05166720684829329
NSB,51,0.0012906269114137424,0.03592529626062592,0.0108226012469067,1.1712869774954645e-4,0.8,0.33057331735182716,0.31975071610492045,188,VA,0.010822601246906705
NSB,53,0.001518576431051472,0.038968916216023664,0.012341382008291624,1.523097098745842e-4,0.9,0.38612990095866084,0.37378851895036924,252,WA,0.012341382008291601
NSB,54,0.0013177754869385806,0.036301177486943594,0.018098157489684536,3.275433045214245e-4,1,0.31922098632193563,0.3011228288322511,93,WV,0.01809815748968452
NSB,55,0.0013241390568860356,0.036388721561577776,0.022286828893564294,4.967027421310123e-4,0.9,0.35614794133649275,0.33386111244292843,121,WI,0.022286828893564314
